"Kerncijfers wijken en buurten 2018"
""
"";"Topic"
"";"Regioaanduiding|Soort regio";"Regioaanduiding|Indelingswijziging wijken en buurten";"Bevolking|Aantal inwoners";"Bevolking|Geslacht|Mannen";"Bevolking|Geslacht|Vrouwen";"Bevolking|Leeftijdsgroepen|0 tot 15 jaar";"Bevolking|Leeftijdsgroepen|15 tot 25 jaar";"Bevolking|Leeftijdsgroepen|25 tot 45 jaar";"Bevolking|Leeftijdsgroepen|45 tot 65 jaar";"Bevolking|Leeftijdsgroepen|65 jaar of ouder";"Bevolking|Bevolkingsdichtheid";"Inkomen|Inkomen van personen|Aantal inkomensontvangers  ";"Inkomen|Inkomen van personen|Gemiddeld inkomen per inkomensontvanger ";"Inkomen|Inkomen van personen|Gemiddeld inkomen per inwoner ";"Inkomen|Inkomen van personen|40% personen met laagste inkomen";"Inkomen|Inkomen van personen|20% personen met hoogste inkomen";"Inkomen|Inkomen van personen|Actieven 15-75 jaar";"Inkomen|Inkomen van huishoudens|40% huishoudens met laagste inkomen";"Inkomen|Inkomen van huishoudens|20% huishoudens met hoogste inkomen";"Inkomen|Inkomen van huishoudens|Huishoudens met een laag inkomen";"Inkomen|Inkomen van huishoudens|Huish. onder of rond sociaal minimum";"Postcode|Meest voorkomende postcode";"Postcode|Dekkingspercentage"
"Leidsegracht North";"Neighborhood";"1";"680";"375";"300";"50";"80";"250";"190";"115";"12734";"600";".";".";"32.3";"41.0";"64.2";"41.1";"33.1";"9.1";"8.0";"1016";"1"
"Canal Belt-South";"Neighbourhood";"1";"5350";"2890";"2455";"475";"685";"2050";"1385";"765";"10303";"4300";"66.1";"55.4";"28.6";"39.9";"68.6";"41.0";"27.5";"8.9";"8.0";".";"."
"Spiegelbuurt";"Neighborhood";"1";"810";"450";"360";"70";"85";"345";"205";"115";"10210";"600";".";".";"23.8";"42.6";"71.3";"39.4";"29.4";"8.3";"7.4";"1017";"1"
"Golden Bend";"Neighborhood";"1";"130";"75";"55";"10";"20";"45";"40";"30";"2918";"100";".";".";"30.0";"44.5";"63.9";".";".";".";".";"1017";"1"
"Van Loonbuurt";"Neighborhood";"1";"1420";"725";"690";"140";"185";"470";"385";"250";"10957";"1100";".";".";"29.5";"39.7";"64.8";"38.7";"31.1";"9.3";"8.6";"1017";"1"
"Amstelveldbuurt";"Neighborhood";"1";"1505";"775";"725";"165";"185";"460";"475";"230";"13599";"1200";".";".";"30.5";"41.2";"65.6";"40.4";"29.1";"9.0";"8.3";"1017";"1"
"Rembrandtplein neighborhood";"Neighborhood";"1";"475";"270";"205";"20";"60";"285";"75";"45";"8180";"400";".";".";"21.7";"34.8";"78.2";"46.2";"17.2";"6.7";"6.7";"1017";"1"
"Reguliersbuurt";"Neighborhood";"1";"360";"215";"145";"25";"85";"205";"45";"10";"8942";"300";".";".";"39.1";"29.8";"76.6";"58.9";"14.1";"14.0";"10.2";"1017";"1"
"Leidsegracht South";"Neighborhood";"1";"635";"370";"260";"55";"70";"250";"170";"100";"11689";"500";".";".";"27.8";"43.6";"69.1";"34.9";"30.7";"8.2";"7.1";"1017";"1"
"Nieuwmarkt / Lastage";"Neighbourhood";"1";"9765";"5090";"4675";"810";"1180";"3270";"2875";"1645";"13741";"8100";"41.6";"36.2";"35.5";"29.4";"63.6";"53.2";"17.9";"12.6";"13.4";".";"."
"Oosterdokseiland";"Neighborhood";"1";"480";"280";"195";"60";"35";"220";"130";"45";"3842";"400";".";".";"21.0";"46.9";"75.3";"29.8";"36.6";"6.3";"5.1";"1011";"1"
"Scheepvaarthuisbuurt";"Neighborhood";"1";"750";"375";"375";"60";"130";"295";"165";"110";"14111";"600";".";".";"31.7";"33.6";"66.4";"47.1";"21.7";"8.3";"8.0";"1011";"1"
"Rapenburg";"Neighborhood";"1";"1070";"510";"560";"110";"255";"385";"240";"95";"11692";"700";".";".";"36.3";"28.6";"67.5";"53.1";"18.3";"10.0";"10.2";"1011";"1"
"Lastage";"Neighborhood";"1";"1070";"550";"515";"100";"120";"400";"315";"150";"20381";"900";".";".";"34.6";"31.0";"68.3";"52.0";"18.5";"14.1";"14.0";"1011";"1"
"Nieuwmarkt";"Neighborhood";"1";"1630";"800";"830";"135";"170";"390";"560";"385";"27479";"1400";".";".";"45.0";"19.7";"55.5";"65.6";"11.3";"17.0";"18.8";"1011";"1"
"Uilenburg";"Neighborhood";"1";"1170";"620";"550";"85";"95";"450";"380";"170";"14555";"1,000";".";".";"31.0";"36.6";"66.6";"49.3";"22.4";"13.0";"12.6";"1011";"1"
"Valkenburg";"Neighborhood";"1";"1170";"605";"565";"105";"125";"350";"345";"255";"17278";"1,000";".";".";"33.5";"31.9";"60.8";"49.9";"18.4";"8.3";"10.8";"1011";"1"
"Zuiderkerkbuurt";"Neighborhood";"1";"1515";"865";"645";"85";"175";"485";"485";"295";"22330";"1300";".";".";"38.3";"26.2";"61.1";"56.4";"15.1";"14.2";"16.2";"1011";"1"
"Waterloopleinbuurt";"Neighborhood";"1";"890";"470";"420";"80";"95";"310";"265";"150";"7943";"800";".";".";"33.5";"26.4";"62.9";"52.1";"15.6";"13.9";"13.7";"1011";"1"
"Haarlemmerbuurt";"Neighbourhood";"1";"9305";"4650";"4655";"1050";"815";"3090";"2890";"1470";"17007";"7600";"43.5";"36.9";"35.7";"31.2";"65.9";"49.0";"20.4";"13.6";"13.3";".";"."
"Westerdok Island";"Neighborhood";"1";"1,900";"975";"925";"295";"125";"570";"575";"345";"11814";"1500";".";".";"32.5";"42.2";"64.7";"32.6";"33.0";"9.1";"10.6";"1013";"1"
"Haarlemmerbuurt East";"Neighborhood";"1";"1460";"720";"740";"130";"135";"550";"440";"220";"15706";"1200";".";".";"33.3";"30.0";"70.1";"52.3";"16.9";"12.0";"11.2";"1013";"1"
"Haarlemmerbuurt West";"Neighborhood";"1";"2485";"1255";"1230";"250";"245";"835";"760";"410";"22738";"2,000";".";".";"36.8";"27.5";"64.6";"52.2";"18.4";"13.9";"14.1";"1013";"1"
"Western Islands";"Neighborhood";"1";"2945";"1435";"1505";"340";"295";"895";"975";"450";"19305";"2400";".";"35.3";"37.2";"29.8";"64.9";"49.9";"20.1";"14.6";"13.7";"1013";"1"
"Planciusbuurt North";"Neighborhood";"1";"355";"175";"175";"25";"20";"205";"80";"30";"19571";"300";".";".";"35.3";"24.6";"75.5";"61.7";"7.0";"22.2";"19.2";"1013";"1"
"Planciusbuurt South";"Neighborhood";"1";"150";"80";"65";"15";"5";"45";"65";"25";"11765";"100";".";".";"48.5";"14.6";"57.6";"81.3";"3.6";"28.7";"25.0";"1013";"1"
"Jordan";"Neighbourhood";"1";"19435";"9825";"9610";"1695";"1835";"7275";"5510";"3135";"23289";"16600";"40.7";"35.7";"37.3";"27.7";"65.8";"54.7";"16.2";"14.3";"13.8";".";"."
"Triangle neighborhood";"Neighborhood";"1";"2715";"1335";"1380";"240";"270";"1080";"760";"375";"27622";"2300";".";"34.5";"38.8";"26.5";"65.3";"55.4";"14.7";"15.3";"14.4";"1015";"1"
"Bloemgracht neighborhood";"Neighborhood";"1";"2975";"1475";"1500";"310";"280";"1115";"785";"500";"26203";"2,500";".";"41.3";"33.8";"32.0";"67.0";"48.6";"21.3";"10.9";"11.2";"1016";"5"
"Marnixbuurt North";"Neighborhood";"1";"1495";"730";"765";"140";"125";"545";"450";"250";"27067";"1300";".";".";"42.3";"22.9";"63.8";"59.4";"12.9";"16.9";"16.8";"1015";"1"
"Zaagpoort neighborhood";"Neighborhood";"1";"905";"505";"400";"40";"110";"495";"205";"70";"25844";"800";".";".";"42.3";"18.2";"70.9";"71.4";"6.1";"21.3";"18.2";"1015";"1"
"Marnixbuurt Midden";"Neighborhood";"1";"205";"105";"100";"20";"40";"110";"35";"15";"13280";"200";".";".";"38.6";"30.1";"75.0";"52.3";"19.5";"8.3";"7.3";"1016";"1"
"Elandsgrachtbuurt";"Neighborhood";"1";"4325";"2185";"2135";"365";"425";"1615";"1245";"685";"22913";"3700";"41.0";"36.0";"36.5";"28.0";"66.2";"55.0";"16.0";"13.9";"14.6";"1016";"1"
"Passeerdersgrachtbuurt";"Neighborhood";"1";"855";"440";"415";"70";"65";"310";"260";"165";"18778";"700";".";".";"33.3";"33.3";"64.0";"48.5";"18.9";"13.7";"11.5";"1016";"1"
"Groenmarktkade neighborhood";"Neighborhood";"1";"200";"100";"95";"10";"30";"120";"35";"15";"5649";"200";".";".";"29.7";"37.9";"78.0";"37.5";"25.8";"5.2";"6.9";"1016";"1"
"Marnixbuurt South";"Neighborhood";"1";"655";"370";"280";"35";"40";"250";"135";"205";"15941";"600";".";".";"32.1";"27.5";"64.6";"57.9";"11.2";"14.6";"13.0";"1016";"1"
"Carnation neighborhood North";"Neighborhood";"1";"2105";"1065";"1035";"210";"215";"690";"625";"380";"22236";"1800";".";".";"37.4";"29.6";"64.5";"51.7";"20.0";"11.7";"11.8";"1015";"1"
"Carnation neighborhood South";"Neighborhood";"1";"2980";"1495";"1485";"280";"250";"960";"1,000";"500";"26979";"2600";"37.7";"33.2";"38.8";"26.0";"63.9";"55.4";"15.2";"16.1";"14.4";"1015";"1"
"The Weteringschans";"Neighbourhood";"1";"7235";"3735";"3500";"695";"870";"3010";"1745";"925";"13012";"6,000";"50.9";"43.2";"30.8";"36.8";"69.6";"45.7";"23.5";"10.4";"9.8";".";"."
"Leidsebuurt Northwest";"Neighborhood";"1";"250";"135";"110";"10";"25";"155";"50";"20";"10038";"200";".";".";"24.3";"33.0";"80.5";"51.8";"11.5";"5.0";"5.6";"1017";"1"
"Leidsebuurt Southwest";"Neighborhood";"1";"155";"75";"80";"15";"30";"75";"30";"15";"5745";"100";".";".";"32.3";"26.9";"72.7";"60.4";"16.0";".";".";"1017";"1"
"Leidsebuurt Northeast";"Neighborhood";"1";"965";"495";"465";"40";"200";"505";"160";"75";"17974";"800";".";".";"33.8";"27.4";"71.9";"54.8";"14.0";"10.8";"10.1";"1017";"1"
"Leidsebuurt Southeast";"Neighborhood";"1";"310";"170";"140";"30";"45";"120";"90";"40";"7251";"300";".";".";"33.7";"29.5";"66.1";"55.2";"21.4";"13.5";"11.7";"1017";"1"
"Weteringbuurt";"Neighborhood";"1";"2410";"1190";"1215";"280";"240";"1110";"520";"270";"20307";"2,000";".";".";"28.9";"37.6";"73.0";"43.8";"23.9";"10.7";"9.7";"1017";"1"
"Den Texbuurt";"Neighborhood";"1";"1090";"590";"500";"125";"145";"360";"290";"180";"11444";"900";".";".";"33.8";"39.6";"61.6";"42.5";"28.4";"10.2";"9.6";"1017";"1"
"Utrechtsebuurt South";"Neighborhood";"1";"1150";"600";"545";"110";"120";"385";"350";"195";"20242";"1,000";".";".";"32.5";"38.0";"67.9";"44.7";"25.8";"10.0";"10.7";"1017";"1"
"Frederikspleinbuurt";"Neighborhood";"1";"895";"460";"430";"100";"80";"315";"270";"140";"6585";"700";".";".";"27.0";"46.6";"67.1";"35.7";"32.3";"9.6";"8.7";"1017";"1"
"Weesperbuurt / Plantage";"Neighbourhood";"1";"7860";"4130";"3730";"670";"1100";"2910";"2050";"1140";"10125";"6,000";"47.3";"41.0";"34.3";"32.8";"66.2";"50.4";"21.5";"12.2";"11.2";".";"."
"Weesperbuurt";"Neighborhood";"1";"3285";"1,700";"1580";"215";"485";"1200";"815";"580";"15500";"2,700";"43.3";"38.8";"37.2";"29.7";"63.8";"55.6";"18.7";"13.0";"11.8";"1018";"1"
"Sarphat Strip";"Neighborhood";"1";"2225";"1230";"995";"200";"290";"930";"615";"200";"12194";"1,600";".";".";"33.1";"32.4";"69.9";"51.1";"20.8";"12.8";"11.7";"1018";"1"
"Plantation";"Neighborhood";"1";"1955";"985";"970";"205";"295";"615";"525";"330";"5726";"1500";".";".";"31.3";"37.8";"64.3";"41.5";"27.7";"11.2";"10.3";"1018";"1"
"Alexanderplein and surroundings";"Neighborhood";"1";"390";"205";"180";"55";"40";"175";"100";"40";"9809";"300";".";".";"29.4";"37.8";"75.8";"42.7";"22.2";"8.3";"7.4";"1018";"1"
"Eastern Islands / Kadijken";"Neighbourhood";"1";"13210";"6610";"6600";"1510";"1605";"4320";"3945";"1845";"13388";"10900";"36.0";"30.7";"39.0";"25.4";"61.3";"53.5";"16.4";"14.1";"13.3";".";"."
"Marine Establishment";"Neighborhood";"1";"80";"45";"35";"15";"5";"30";"35";"10";"485";"100";".";".";".";".";".";".";".";".";".";"1019";"2"
"Kattenburg";"Neighborhood";"1";"1,700";"790";"905";"155";"390";"445";"380";"340";"19019";"1400";".";".";"50.5";"15.5";"49.5";"64.7";"11.3";"10.4";"12.1";"1018";"1"
"Wittenburg";"Neighborhood";"1";"2190";"1120";"1070";"215";"215";"720";"745";"310";"17652";"1,900";".";".";"39.2";"22.0";"62.3";"53.5";"13.4";"12.8";"12.2";"1018";"1"
"Oostenburg";"Neighborhood";"1";"1730";"885";"840";"200";"200";"615";"540";"185";"8572";"1500";".";".";"41.0";"23.3";"61.4";"54.6";"15.5";"18.8";"17.1";"1018";"1"
"Czaar Peterbuurt";"Neighborhood";"1";"2315";"1180";"1135";"275";"265";"1060";"505";"230";"22309";"1,900";".";".";"39.1";"23.1";"67.0";"60.2";"12.9";"18.2";"16.4";"1018";"1"
"The Funen";"Neighborhood";"1";"1385";"695";"685";"310";"190";"390";"390";"115";"18758";"900";".";".";"30.6";"42.3";"68.5";"33.6";"37.9";"8.8";"7.7";"1018";"1"
"Barracks area";"Neighborhood";"1";"950";"450";"495";"60";"130";"270";"335";"165";"17397";"800";".";".";"39.4";"25.5";"56.3";"54.3";"14.4";"16.0";"13.8";"1018";"1"
"Kadijken";"Neighborhood";"1";"2,850";"1430";"1415";"300";"225";"800";"1030";"505";"16777";"2400";".";"35.6";"34.1";"30.6";"61.2";"48.1";"18.3";"12.3";"11.7";"1018";"1"
"Western Docklands";"Neighbourhood";"1";"195";"125";"70";"15";"15";"80";"80";"15";"10";"200";".";".";"51.0";"12.6";"69.8";"74.4";"6.4";"34.5";"30.9";".";"."
"Coenhaven / Mercuriushaven";"Neighborhood";"1";"20";"10";"10";"5";"5";"15";"10";"5";"17";"0";".";".";".";".";".";".";".";".";".";"1013";"1"
"Alpha triangle";"Neighborhood";"1";"15";"10";"0";"0";"5";"15";"0";"5";"37";"0";".";".";".";".";".";".";".";".";".";"1014";"1"
"Petroleum harbor";"Neighborhood";"1";"0";"0";"0";"0";"0";"0";"5";"0";".";"0";".";".";".";".";".";".";".";".";".";"1041";"1"
"Westhaven North";"Neighborhood";"1";"20";"10";"5";"5";"5";"5";"10";"5";"5";"0";".";".";".";".";".";".";".";".";".";"1042";"4"
"Transport center";"Neighborhood";"1";"5";"0";"0";"0";"5";"5";"5";"0";".";"0";".";".";".";".";".";".";".";".";".";"1042";"1"
"Amerikahaven";"Neighborhood";"1";"105";"70";"35";"10";"5";"40";"55";"10";"16";"100";".";".";".";".";".";".";".";".";".";"1045";"2"
"Afrikahaven";"Neighborhood";"1";"5";"0";"0";"0";"5";"0";"5";"5";".";"0";".";".";".";".";".";".";".";".";".";"1047";"1"
"Westhaven South";"Neighborhood";"1";"15";"5";"5";"5";"0";"10";"5";"5";"36";"0";".";".";".";".";".";".";".";".";".";"1043";"1"
"Sloterdijk business park";"Neighbourhood";"1";"525";"350";"175";"10";"240";"240";"35";"15";"73";"500";".";".";"54.5";"8.9";"60.4";"88.1";"2.3";"29.9";"25.2";".";"."
"Sloterdijk II";"Neighborhood";"1";"20";"10";"5";"5";"5";"20";"5";"0";"50";"0";".";".";".";".";".";".";".";".";".";"1043";"1"
"Sloterdijk III East";"Neighborhood";"1";"0";"0";"0";"0";"0";"0";"5";"0";".";"0";".";".";".";".";".";".";".";".";".";"1043";"3"
"Sloterdijk III West";"Neighborhood";"1";"75";"55";"15";"5";"40";"20";"10";"5";"37";"100";".";".";".";".";".";".";".";".";".";"1046";"1"
"De Heining";"Neighborhood";"1";"25";"15";"10";"5";"5";"10";"10";"10";"28";"0";".";".";".";".";".";".";".";".";".";"1047";"1"
"Teleport";"Neighborhood";"1";"390";"255";"135";"5";"195";"195";"10";"0";"463";"400";".";".";"53.0";"8.8";"61.9";"90.8";"1.4";"29.3";"24.0";"1043";"1"
"Bretten East";"Neighborhood";"1";"0";"0";"0";"0";"0";"5";"0";"0";".";"0";".";".";".";".";".";".";".";".";".";"1043";"1"
"Bretten West";"Neighborhood";"1";"0";"0";"0";"0";"0";"0";"0";"0";".";"0";".";".";".";".";".";".";".";".";".";"1046";"1"
"Houthavens";"Neighbourhood";"1";"1115";"585";"530";"150";"80";"370";"405";"130";"3411";"900";".";".";"26.0";"42.0";"72.9";"33.0";"29.8";"8.3";"7.1";".";"."
"Houthavens West";"Neighborhood";"1";"455";"240";"215";"85";"45";"200";"115";"20";"1499";"400";".";".";"20.6";"49.6";"81.7";"25.8";"36.4";"2.8";"2.3";"1013";"2"
"Houthavens East";"Neighborhood";"1";"660";"345";"315";"65";"35";"170";"290";"110";"28636";"600";".";".";"29.4";"37.3";"67.4";"37.2";"25.9";"11.3";"9.7";"1013";"1"
"Spaarndammer- and Zeeheldenbuurt";"Neighbourhood";"1";"10780";"5355";"5420";"1460";"955";"4205";"2870";"1305";"7890";"8800";"31.8";"26.5";"41.8";"20.2";"63.4";"58.5";"12.5";"18.5";"17.5";".";"."
"Zeeheldenbuurt";"Neighborhood";"1";"2035";"980";"1050";"325";"220";"760";"530";"215";"22226";"1,600";".";".";"41.9";"21.7";"62.3";"56.1";"12.9";"18.6";"17.0";"1013";"1"
"Spaarndammerbuurt Northeast";"Neighborhood";"1";"2775";"1390";"1385";"355";"270";"945";"905";"315";"27863";"2300";".";"24.8";"46.4";"16.6";"57.7";"63.0";"9.9";"22.0";"20.9";"1013";"1"
"Spaarndammerbuurt Southeast";"Neighborhood";"1";"1025";"500";"525";"140";"75";"410";"280";"135";"20938";"900";".";".";"39.5";"21.5";"66.4";"57.7";"14.2";"17.7";"16.1";"1013";"1"
"Spaarndammerbuurt Southwest";"Neighborhood";"1";"1695";"845";"845";"210";"110";"670";"355";"360";"22381";"1300";".";".";"37.1";"24.1";"69.0";"58.2";"14.4";"14.8";"15.2";"1013";"1"
"Spaarndammerbuurt Middle";"Neighborhood";"1";"1225";"625";"600";"170";"120";"535";"305";"115";"21415";"1,000";".";".";"40.2";"20.9";"67.8";"56.3";"12.0";"14.3";"14.4";"1013";"1"
"Spaarndammerbuurt Northwest";"Neighborhood";"1";"2005";"1,000";"1005";"270";"170";"890";"510";"180";"16849";"1,700";".";".";"41.4";"19.7";"64.1";"56.3";"13.6";"19.1";"17.3";"1013";"1"
"Westergasfabriek";"Neighborhood";"1";"0";"0";"0";"0";"0";"0";"0";"0";".";"0";".";".";".";".";".";".";".";".";".";"1014";"1"
"Overbraker Binnenpolder";"Neighborhood";"1";"5";"0";"0";"0";"5";"5";"5";"5";".";"0";".";".";".";".";".";".";".";".";".";"1014";"1"
"Staatsliedenbuurt";"Neighbourhood";"1";"13315";"6675";"6640";"1570";"1220";"5800";"3540";"1195";"28139";"11200";"36.3";"31.0";"35.9";"27.2";"69.6";"51.4";"15.1";"14.6";"13.9";".";"."
"The Wittenbuurt North";"Neighborhood";"1";"1390";"695";"695";"190";"120";"585";"350";"155";"21866";"1100";".";".";"37.4";"28.0";"68.9";"54.1";"16.0";"14.2";"14.1";"1052";"1"
"The Wittenbuurt South";"Neighborhood";"1";"915";"445";"465";"85";"110";"245";"335";"150";"25774";"800";".";".";"44.3";"17.4";"54.5";"59.3";"10.7";"18.1";"19.8";"1052";"1"
"Staatsliedenbuurt Northeast";"Neighborhood";"1";"1245";"630";"615";"125";"100";"360";"385";"285";"21124";"1100";".";".";"45.8";"15.9";"56.7";"63.9";"7.8";"16.6";"20.5";"1051";"1"
"Fannius Scholtenbuurt";"Neighborhood";"1";"3725";"1880";"1840";"430";"320";"1765";"980";"240";"35903";"3200";"35.1";"30.2";"35.0";"25.4";"71.9";"54.2";"12.5";"16.2";"14.6";"1051";"1"
"Western statesman";"Neighborhood";"1";"2890";"1440";"1450";"330";"290";"1520";"650";"110";"29427";"2400";".";"31.4";"33.6";"29.3";"74.2";"48.9";"13.9";"14.1";"11.4";"1051";"1"
"Buyskade and surroundings";"Neighborhood";"1";"3140";"1575";"1560";"420";"290";"1335";"845";"265";"27823";"2600";"41.7";"34.8";"31.7";"34.7";"72.1";"40.8";"24.2";"11.1";"10.5";"1051";"1"
"Central Market";"Neighbourhood";"1";"2420";"1170";"1250";"310";"325";"730";"815";"255";"4660";"2,000";".";".";"35.8";"28.7";"64.9";"41.5";"22.0";"10.3";"10.3";".";"."
"Eco district";"Neighborhood";"1";"1345";"635";"705";"200";"225";"310";"520";"105";"21126";"1100";".";".";"35.0";"31.2";"65.0";"33.7";"27.5";"8.3";"7.7";"1051";"1"
"Market halls";"Neighborhood";"1";"10";"5";"5";"5";"0";"5";"5";"5";"39";"0";".";".";".";".";".";".";".";".";".";"1051";"1"
"Business center Westerkwartier";"Neighborhood";"1";"65";"35";"30";"15";"10";"15";"30";"5";"491";"100";".";".";".";".";".";".";".";".";".";"1051";"1"
"Marcanti";"Neighborhood";"1";"995";"485";"510";"100";"95";"405";"265";"145";"17171";"800";".";".";"36.6";"25.8";"65.0";"50.3";"15.7";"12.5";"13.3";"1051";"1"
"Frederik Hendrikbuurt";"Neighbourhood";"1";"8435";"4225";"4205";"880";"695";"3790";"2095";"980";"23520";"6900";"38.4";"33.1";"34.6";"29.2";"69.8";"51.5";"16.2";"15.0";"14.1";".";"."
"Frederik Hendrikbuurt North";"Neighborhood";"1";"3895";"1890";"2,000";"445";"340";"1770";"935";"420";"21297";"3200";"37.4";"31.9";"35.3";"28.1";"69.5";"51.7";"16.3";"14.5";"14.5";"1052";"1"
"Frederik Hendrikbuurt Southeast";"Neighborhood";"1";"3295";"1750";"1545";"315";"255";"1685";"760";"295";"29133";"2,700";"39.0";"34.1";"34.1";"30.2";"72.2";"53.5";"15.1";"16.9";"14.8";"1052";"1"
"Frederik Hendrikbuurt Southwest";"Neighborhood";"1";"1240";"580";"655";"125";"105";"345";"410";"270";"19859";"1,000";".";".";"33.4";"30.1";"64.0";"44.4";"19.4";"10.9";"10.6";"1052";"1"
